ggF (N3LO),,,,,,,ggF (NNLO+NNLL),,,,,,,,,VBF,,,,,,,,,WH,,,,,,,,,,,ZH,,,,,,,,,,ttH,,,,,,,,,bbH,,,,,,,,,tH (t-ch),,,,,,,,,,,tH (s-ch),,,,,,,,,,,ggF+VBF+WH+ZH+ttH+bbH,,,,W-H,,,,,,,,,W+H,,,,,,,
MH,Cross,Uncertainty,,,,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,W+H,W-H,,MH,Cross,Uncertainty,,,,,1+δEW,gg→ZH,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,tH,tbarH,,MH,Cross,Uncertainty,,,,,1+δEW,tH,tbarH,,Cross,,,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW
,Section,Theory,,,PDF+αs,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,,Section,Scale,,PDF+αs,PDF,αs,,(box diag.),,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,Section,,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,
[GeV],[pb],pos [%],neg [%],Gauss [%],[%],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[pb],,,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],
460.00 ,2.160E+00,+1.7,-3.4 ,±2.0,±3.2,,460.00,6.266E+00,+5.6,-5.2,±3.0,±2.1,±2.2,0.9900,,460.00,5.778E-01,+0.3,-0.1,±2.0,±2.0,±0.3,,,460.00,1.221E-02,+1.3,-1.3,±2.6,,,,8.186E-03,4.023E-03,,460.00,7.317E-03,+3.4,-3.0,±2.0,,,,,,,,,,,,,,,460.00,3.690E-03,+14.6,-14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.00,4.023E-03,1.4,-1.4,3.0,,,,,460.00,8.186E-03,1.3,-1.3,2.4,,,
470.00 ,2.030E+00,+1.7,-3.4 ,±2.0,±3.2,,470.00,5.788E+00,+5.6,-5.2,±3.1,±2.1,±2.2,0.9921,,470.00,5.533E-01,+0.3,-0.1,±2.0,±2.0,±0.3,,,470.00,1.117E-02,+1.3,-1.3,±2.6,,,,7.502E-03,3.664E-03,,470.00,6.719E-03,+3.5,-3.2,±2.0,,,,,,,,,,,,,,,470.00,3.352E-03,+14.6,-14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.00,3.664E-03,1.4,-1.3,3.0,,,,,470.00,7.502E-03,1.3,-1.3,2.4,,,
480.00 ,1.920E+00,+1.7,-3.4 ,±2.0,±3.2,,480.00,5.341E+00,+5.6,-5.2,±3.1,±2.1,±2.2,0.9940,,480.00,5.301E-01,+0.3,-0.1,±2.0,±2.0,±0.3,,,480.00,1.023E-02,+1.4,-1.4,±2.6,,,,6.885E-03,3.342E-03,,480.00,6.179E-03,+3.7,-3.2,±2.0,,,,,,,,,,,,,,,480.00,3.055E-03,+14.6,-14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.00,3.342E-03,1.4,-1.4,3.0,,,,,480.00,6.885E-03,1.4,-1.4,2.4,,,
490.00 ,1.810E+00,+1.7,-3.4 ,±2.0,±3.2,,490.00,4.924E+00,+5.6,-5.1,±3.1,±2.1,±2.3,0.9961,,490.00,5.081E-01,+0.3,-0.1,±2.0,±2.0,±0.3,,,490.00,9.381E-03,+1.4,-1.4,±2.7,,,,6.326E-03,3.055E-03,,490.00,5.695E-03,+3.9,-3.4,±2.1,,,,,,,,,,,,,,,490.00,2.784E-03,+14.4,-14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.00,3.055E-03,1.5,-1.4,3.0,,,,,490.00,6.326E-03,1.4,-1.4,2.5,,,
500.00 ,1.709E+00,+1.7,-3.5 ,±2.0,±3.3,,500.00,4.538E+00,+5.6,-5.1,±3.1,±2.2,±2.3,0.9981,,500.00,4.872E-01,+0.3,-0.1,±2.0,±2.0,±0.2,,,500.00,8.621E-03,+1.3,-1.4,±2.7,,,,5.825E-03,2.796E-03,,500.00,5.256E-03,+4.1,-3.5,±2.1,,,,,,,,,,,,,,,500.00,2.547E-03,+14.5,-14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,2.796E-03,1.4,-1.4,3.0,,,,,500.00,5.825E-03,1.3,-1.4,2.5,,,
550.00 ,1.297E+00,+1.8,-3.5 ,±2.0,±3.4,,550.00,3.008E+00,+5.5,-5.0,±3.2,±2.3,±2.3,1.0069,,550.00,3.975E-01,+0.3,-0.2,±2.1,±2.1,±0.2,,,550.00,5.746E-03,+1.5,-1.5,±2.9,,,,3.917E-03,1.829E-03,,550.00,3.601E-03,+4.8,-4.3,±2.2,,,,,,,,,,,,,,,550.00,1.651E-03,+14.7,-14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.00,1.829E-03,1.5,-1.6,3.2,,,,,550.00,3.917E-03,1.5,-1.5,2.7,,,
600.00 ,1.001E+00,+1.8,-3.6 ,±2.1,±3.5,,600.00,2.006E+00,+5.5,-4.9,±3.4,±2.5,±2.3,1.0152,,600.00,3.274E-01,+0.3,-0.3,±2.1,±2.1,±0.2,,,600.00,3.941E-03,+1.5,-1.6,±3.1,,,,2.709E-03,1.232E-03,,600.00,2.544E-03,+5.7,-5.0,±2.2,,,,,,,,,,,,,,,600.00,1.101E-03,+15.1,-14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.00,1.232E-03,1.6,-1.6,3.4,,,,,600.00,2.709E-03,1.5,-1.6,3.0,,,
650.00 ,7.834E-01,+1.9,-3.6 ,±2.1,±3.7,,650.00,1.352E+00,+5.5,-4.9,±3.5,±2.6,±2.3,1.0226,,650.00,2.719E-01,+0.3,-0.3,±2.1,±2.1,±0.2,,,650.00,2.766E-03,+1.6,-1.7,±3.3,,,,1.916E-03,8.501E-04,,650.00,1.844E-03,+6.6,-5.8,±2.3,,,,,,,,,,,,,,,650.00,7.518E-04,+15.5,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.00,8.501E-04,1.7,-1.7,3.6,,,,,650.00,1.916E-03,1.6,-1.7,3.2,,,
700.00 ,6.206E-01,+1.9,-3.7 ,±2.1,±3.8,,700.00,9.235E-01,+5.4,-4.8,±3.7,±2.8,±2.4,1.0301,,700.00,2.275E-01,+0.3,-0.4,±2.2,±2.2,±0.1,,,700.00,1.982E-03,+1.6,-1.8,±3.6,,,,1.383E-03,5.990E-04,,700.00,1.364E-03,+7.5,-6.5,±2.4,,,,,,,,,,,,,,,700.00,5.251E-04,+15.8,-15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.00,5.990E-04,1.7,-1.8,3.8,,,,,700.00,1.383E-03,1.6,-1.8,3.5,,,
750.00 ,4.969E-01,+2.0,-3.7 ,±2.1,±4.0,,750.00,6.398E-01,+5.4,-4.8,±3.9,±3.0,±2.4,1.0377,,750.00,1.915E-01,+0.3,-0.4,±2.2,±2.2,±0.1,,,750.00,1.444E-03,+1.7,-1.8,±3.8,,,,1.014E-03,4.300E-04,,750.00,1.027E-03,+8.4,-7.2,±2.5,,,,,,,,,,,,,,,750.00,3.723E-04,+16.2,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.00,4.300E-04,1.8,-1.9,4.0,,,,,750.00,1.014E-03,1.7,-1.8,3.7,,,
800.00 ,4.015E-01,+2.0,-3.8 ,±2.2,±4.2,,800.00,4.491E-01,+5.5,-4.7,±4.0,±3.2,±2.4,1.0454,,800.00,1.622E-01,+0.3,-0.5,±2.3,±2.3,±0.1,,,800.00,1.068E-03,+1.8,-1.9,±4.1,,,,7.545E-04,3.133E-04,,800.00,7.842E-04,+9.1,-7.9,±2.6,,,,,,,,,,,,,,,800.00,2.692E-04,+16.8,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.00,3.133E-04,1.9,-2.0,4.2,,,,,800.00,7.545E-04,1.7,-1.9,4.0,,,
850.00 ,3.271E-01,+2.1,-3.8 ,±2.2,±4.4,,850.00,3.195E-01,+5.5,-4.7,±4.2,±3.4,±2.5,1.0532,,850.00,1.380E-01,+0.3,-0.5,±2.3,±2.3,±0.1,,,850.00,8.000E-04,+1.8,-2.0,±4.2,,,,5.685E-04,2.315E-04,,850.00,6.061E-04,+10.0,-8.5,±2.7,,,,,,,,,,,,,,,850.00,1.967E-04,+17.3,-15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.00,2.315E-04,1.9,-2.1,4.3,,,,,850.00,5.685E-04,1.7,-2.0,4.2,,,
900.00 ,2.685E-01,+2.1,-3.8 ,±2.2,±4.6,,900.00,2.301E-01,+5.5,-4.8,±4.4,±3.6,±2.5,1.0610,,900.00,1.180E-01,+0.3,-0.6,±2.4,±2.4,±0.1,,,900.00,6.062E-04,+1.8,-2.1,±4.5,,,,4.330E-04,1.732E-04,,900.00,4.743E-04,+10.6,-9.2,±2.7,,,,,,,,,,,,,,,900.00,1.457E-04,+17.7,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.00,1.732E-04,1.9,-2.2,4.5,,,,,900.00,4.330E-04,1.8,-2.0,4.5,,,
950.00 ,2.219E-01,+2.2,-3.9 ,±2.3,±4.8,,950.00,1.675E-01,+5.5,-4.8,±4.6,±3.8,±2.6,1.0695,,950.00,1.013E-01,+0.3,-0.6,±2.4,±2.4,±0.0,,,950.00,4.640E-04,+1.9,-2.1,±4.7,,,,3.331E-04,1.309E-04,,950.00,3.740E-04,+11.4,-9.7,±2.8,,,,,,,,,,,,,,,950.00,1.091E-04,+18.2,-16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.00,1.309E-04,2.0,-2.2,4.7,,,,,950.00,3.331E-04,1.8,-2.1,4.7,,,
1000.00 ,1.845E-01,+2.2,-4.0 ,±2.3,±5.0,,1000.00,1.233E-01,+5.5,-4.8,±4.8,±4.0,±2.6,1.0783,,1000.00,8.732E-02,+0.3,-0.7,±2.5,±2.5,±0.0,,,1000.00,3.585E-04,+1.9,-2.2,±5.0,,,,2.585E-04,9.997E-05,,1000.00,2.977E-04,+11.9,-10.4,±3.0,,,,,,,,,,,,,,,1000.00,8.258E-05,+18.4,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00,9.997E-05,2.0,-2.3,4.9,,,,,1000.00,2.585E-04,1.8,-2.1,5.0,,,
1050.00 ,1.542E-01,+2.2,-4.0 ,±2.3,±5.2,,1050.00,9.159E-02,+5.5,-4.8,±5.0,±4.2,±2.7,1.0890,,1050.00,7.551E-02,+0.3,-0.7,±2.5,±2.5,±0.0,,,1050.00,2.792E-04,+1.9,-2.2,±5.4,,,,2.022E-04,7.699E-05,,1050.00,2.385E-04,+12.7,-10.7,±3.2,,,,,,,,,,,,,,,1050.00,6.299E-05,+18.6,-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.00,7.699E-05,2.0,-2.3,5.3,,,,,1050.00,2.022E-04,1.8,-2.2,5.4,,,
1100.00 ,1.295E-01,+2.3,-4.0 ,±2.3,±5.4,,1100.00,6.868E-02,+5.5,-4.8,±5.2,±4.4,±2.7,1.1004,,1100.00,6.550E-02,+0.3,-0.8,±2.6,±2.6,±0.0,,,1100.00,2.190E-04,+2.0,-2.3,±5.7,,,,1.592E-04,5.978E-05,,1100.00,1.922E-04,+13.4,-11.2,±3.4,,,,,,,,,,,,,,,1100.00,4.856E-05,+18.8,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.00,5.978E-05,2.1,-2.4,5.6,,,,,1100.00,1.592E-04,1.9,-2.3,5.8,,,
1150.00 ,1.093E-01,+2.3,-4.1 ,±2.4,±5.6,,1150.00,5.193E-02,+5.6,-4.9,±5.4,±4.7,±2.8,1.1122,,1150.00,5.698E-02,+0.3,-0.8,±2.6,±2.6,±0.0,,,1150.00,1.729E-04,+2.0,-2.4,±6.1,,,,1.261E-04,4.675E-05,,1150.00,1.559E-04,+13.8,-11.7,±3.6,,,,,,,,,,,,,,,1150.00,3.773E-05,+18.9,-18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.00,4.675E-05,2.1,-2.4,6.0,,,,,1150.00,1.261E-04,1.9,-2.4,6.2,,,
1200.00 ,9.260E-02,+2.3,-4.1 ,±2.4,±5.9,,1200.00,3.958E-02,+5.6,-4.9,±5.6,±4.9,±2.8,1.1242,,1200.00,4.970E-02,+0.3,-0.9,±2.7,±2.7,±0.0,,,1200.00,1.373E-04,+2.0,-2.4,±6.5,,,,1.005E-04,3.680E-05,,1200.00,1.273E-04,+14.3,-12.3,±3.8,,,,,,,,,,,,,,,1200.00,2.950E-05,+19.1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.00,3.680E-05,2.1,-2.5,6.4,,,,,1200.00,1.005E-04,1.9,-2.4,6.6,,,
1250.00 ,7.880E-02,+2.3,-4.1 ,±2.4,±6.1,,1250.00,3.040E-02,+5.6,-4.9,±5.9,±5.1,±2.9,1.1364,,1250.00,4.345E-02,+0.3,-0.9,±2.7,±2.7,±0.1,,,1250.00,1.097E-04,+2.0,-2.5,±6.9,,,,8.051E-05,2.915E-05,,1250.00,1.043E-04,+14.8,-12.7,±4.0,,,,,,,,,,,,,,,1250.00,2.322E-05,+19.3,-19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.00,2.915E-05,2.1,-2.6,6.7,,,,,1250.00,8.051E-05,2.0,-2.5,7.0,,,
1300.00 ,6.730E-02,+2.4,-4.2 ,±2.4,±6.3,,1300.00,2.349E-02,+5.6,-4.9,±6.1,±5.3,±2.9,1.1475,,1300.00,3.807E-02,+0.3,-0.9,±2.8,±2.8,±0.1,,,1300.00,8.801E-05,+2.1,-2.5,±7.3,,,,6.480E-05,2.321E-05,,1300.00,8.583E-05,+15.4,-13.1,±4.2,,,,,,,,,,,,,,,1300.00,1.863E-05,+19.7,-20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.00,2.321E-05,2.2,-2.6,7.1,,,,,1300.00,6.480E-05,2.0,-2.5,7.4,,,
1350.00 ,5.760E-02,+2.3,-4.2 ,±2.4,±6.6,,1350.00,1.828E-02,+5.6,-5.0,±6.3,±5.6,±3.0,1.1586,,1350.00,3.343E-02,+0.4,-1.0,±2.8,±2.8,±0.1,,,1350.00,7.094E-05,+2.1,-2.6,±7.7,,,,5.236E-05,1.858E-05,,1350.00,7.083E-05,+16.0,-13.4,±4.4,,,,,,,,,,,,,,,1350.00,1.465E-05,+20.1,-20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.00,1.858E-05,2.3,-2.7,7.4,,,,,1350.00,5.236E-05,2.0,-2.6,7.8,,,
1400.00 ,4.950E-02,+2.4,-4.2 ,±2.4,±6.8,,1400.00,1.431E-02,+5.7,-5.0,±6.5,±5.8,±3.0,1.1700,,1400.00,2.941E-02,+0.4,-1.0,±2.9,±2.9,±0.1,,,1400.00,5.742E-05,+2.2,-2.7,±8.1,,,,4.247E-05,1.495E-05,,1400.00,5.875E-05,+16.4,-13.9,±4.6,,,,,,,,,,,,,,,1400.00,1.172E-05,+20.5,-21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.00,1.495E-05,2.3,-2.7,7.8,,,,,1400.00,4.247E-05,2.1,-2.7,8.2,,,
1450.00 ,4.270E-02,+2.4,-4.2 ,±2.4,±7.0,,1450.00,1.126E-02,+5.8,-5.0,±6.8,±6.0,±3.1,1.1816,,1450.00,2.592E-02,+0.4,-1.1,±2.9,±2.9,±0.1,,,1450.00,4.664E-05,+2.2,-2.7,±8.5,,,,3.457E-05,1.207E-05,,1450.00,4.885E-05,+16.8,-14.1,±4.8,,,,,,,,,,,,,,,1450.00,9.329E-06,+20.8,-22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.00,1.207E-05,2.4,-2.7,8.2,,,,,1450.00,3.457E-05,2.1,-2.7,8.6,,,
1500.00 ,3.690E-02,+2.4,-4.3 ,±2.5,±7.3,,1500.00,8.913E-03,+5.9,-5.1,±7.0,±6.3,±3.2,1.1937,,1500.00,2.288E-02,+0.4,-1.1,±3.0,±3.0,±0.1,,,1500.00,3.804E-05,+2.2,-2.8,±8.9,,,,2.824E-05,9.796E-06,,1500.00,4.078E-05,+17.1,-14.5,±5.0,,,,,,,,,,,,,,,1500.00,7.618E-06,+21.5,-23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.00,9.796E-06,2.3,-2.8,8.5,,,,,1500.00,2.824E-05,2.1,-2.8,9.0,,,
1550.00 ,3.190E-02,+2.5,-4.3 ,±2.5,±7.6,,1550.00,7.089E-03,+6.1,-5.1,±7.3,±6.5,±3.2,1.2069,,1550.00,2.023E-02,+0.5,-1.2,±3.0,±3.0,±0.1,,,1550.00,3.112E-05,+2.2,-2.8,±9.3,,,,2.314E-05,7.979E-06,,1550.00,3.404E-05,+17.8,-14.6,±5.2,,,,,,,,,,,,,,,1550.00,6.179E-06,+22.2,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.00,7.979E-06,2.3,-2.9,8.9,,,,,1550.00,2.314E-05,2.2,-2.8,9.4,,,
1600.00 ,2.770E-02,+2.5,-4.3 ,±2.5,±7.8,,1600.00,5.666E-03,+6.3,-5.1,±7.5,±6.7,±3.3,1.2206,,1600.00,1.791E-02,+0.5,-1.2,±3.1,±3.1,±0.1,,,1600.00,2.553E-05,+2.2,-2.9,±9.7,,,,1.901E-05,6.522E-06,,1600.00,2.865E-05,+17.9,-15.2,±5.4,,,,,,,,,,,,,,,1600.00,5.038E-06,+23.1,-24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.00,6.522E-06,2.3,-2.9,9.3,,,,,1600.00,1.901E-05,2.2,-2.9,9.8,,,
1650.00 ,2.410E-02,+2.5,-4.4 ,±2.5,±8.1,,1650.00,4.546E-03,+6.5,-5.2,±7.7,±7.0,±3.3,1.2347,,1650.00,1.588E-02,+0.5,-1.3,±3.2,±3.2,±0.1,,,1650.00,2.101E-05,+2.3,-3.0,±10.0,,,,1.566E-05,5.347E-06,,1650.00,2.408E-05,+18.4,-15.4,±5.6,,,,,,,,,,,,,,,1650.00,4.120E-06,+24.0,-25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.00,5.347E-06,2.4,-3.0,9.6,,,,,1650.00,1.566E-05,2.2,-3.0,10.2,,,
1700.00 ,2.100E-02,+2.5,-4.5 ,±2.6,±8.5,,1700.00,3.662E-03,+6.8,-5.2,±8.0,±7.2,±3.4,1.2493,,1700.00,1.410E-02,+0.5,-1.3,±3.2,±3.2,±0.2,,,1700.00,1.733E-05,+2.3,-3.0,±10.4,,,,1.293E-05,4.399E-06,,1700.00,2.031E-05,+18.8,-15.7,±5.8,,,,,,,,,,,,,,,1700.00,3.380E-06,+24.8,-25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.00,4.399E-06,2.4,-3.0,10.0,,,,,1700.00,1.293E-05,2.3,-3.0,10.6,,,
1750.00 ,1.838E-02,+3.2,-4.4 ,±2.5,±8.7,,1750.00,2.965E-03,+9.4,-3.5,±7.5,±7.2,±1.8,1.2644,,1750.00,1.253E-02,+0.6,-1.4,±3.3,±3.3,±0.2,,,1750.00,1.433E-05,+2.4,-3.1,±10.8,,,,1.070E-05,3.629E-06,,1750.00,1.718E-05,+19.1,-16.1,±6.1,,,,,,,,,,,,,,,1750.00,2.787E-06,+25.7,-26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.00,3.629E-06,2.5,-3.0,10.4,,,,,1750.00,1.070E-05,2.3,-3.1,11.0,,,
1800.00 ,1.609E-02,+2.5,-4.4 ,±2.5,±8.9,,1800.00,2.408E-03,+9.1,-3.9,±7.9,±7.6,±2.1,1.2798,,1800.00,1.115E-02,+0.6,-1.4,±3.4,±3.3,±0.2,,,1800.00,1.187E-05,+2.4,-3.1,±11.2,,,,8.871E-06,3.002E-06,,1800.00,1.455E-05,+19.5,-16.3,±6.3,,,,,,,,,,,,,,,1800.00,2.303E-06,+26.6,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.00,3.002E-06,2.5,-3.1,10.7,,,,,1800.00,8.871E-06,2.4,-3.1,11.4,,,
1850.00 ,1.411E-02,+2.6,-4.4 ,±2.5,±9.1,,1850.00,1.963E-03,+8.8,-4.2,±8.2,±7.9,±2.5,1.2955,,1850.00,9.926E-03,+0.6,-1.5,±3.4,±3.4,±0.2,,,1850.00,9.858E-06,+2.4,-3.2,±11.6,,,,7.368E-06,2.490E-06,,1850.00,1.234E-05,+20.0,-16.6,±6.5,,,,,,,,,,,,,,,1850.00,1.910E-06,+27.3,-27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.00,2.490E-06,2.5,-3.1,11.1,,,,,1850.00,7.368E-06,2.4,-3.2,11.8,,,
1900.00 ,1.239E-02,+2.5,-4.4 ,±2.5,±9.4,,1900.00,1.606E-03,+8.6,-4.5,±8.6,±8.2,±2.8,1.3117,,1900.00,8.849E-03,+0.6,-1.5,±3.5,±3.5,±0.2,,,1900.00,8.199E-06,+2.5,-3.2,±12.0,,,,6.128E-06,2.071E-06,,1900.00,1.050E-05,+20.2,-16.9,±6.7,,,,,,,,,,,,,,,1900.00,1.586E-06,+28.0,-28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.00,2.071E-06,2.6,-3.2,11.5,,,,,1900.00,6.128E-06,2.4,-3.2,12.2,,,
1950.00 ,1.090E-02,+2.6,-4.5 ,±2.6,±9.7,,1950.00,1.317E-03,+8.4,-4.7,±9.0,±8.4,±3.1,1.3283,,1950.00,7.896E-03,+0.7,-1.6,±3.6,±3.6,±0.2,,,1950.00,6.833E-06,+2.5,-3.3,±12.4,,,,5.108E-06,1.725E-06,,1950.00,8.934E-06,+20.6,-17.1,±6.9,,,,,,,,,,,,,,,1950.00,1.332E-06,+28.7,-28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.00,1.725E-06,2.6,-3.2,11.8,,,,,1950.00,5.108E-06,2.5,-3.3,12.6,,,
2000.00 ,9.600E-03,+2.6,-4.5 ,±2.6,±9.7,,2000.00,1.084E-03,+8.3,-4.9,±9.4,±8.7,±3.3,1.3453,,2000.00,7.052E-03,+0.7,-1.6,±3.6,±3.6,±0.2,,,2000.00,5.706E-06,+2.5,-3.3,±12.9,,,,4.265E-06,1.441E-06,,2000.00,7.639E-06,+20.7,-17.5,±7.4,,,,,,,,,,,,,,,2000.00,1.105E-06,+29.4,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,1.441E-06,2.6,-3.2,12.2,,,,,2000.00,4.265E-06,2.5,-3.4,13.1,,,
2050.00 ,8.470E-03,+2.5,-4.5 ,±2.6,±10.0,,2050.00,8.953E-04,+8.2,-5.1,±9.7,±9.0,±3.6,1.3627,,2050.00,6.303E-03,+0.7,-1.7,±3.7,±3.7,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.00,9.255E-07,+30.1,-30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.00 ,7.480E-03,+2.6,-4.5 ,±2.6,±10.5,,2100.00,7.415E-04,+8.1,-5.3,±10.0,±9.3,±3.8,1.3806,,2100.00,5.638E-03,+0.7,-1.7,±3.8,±3.8,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.00,7.769E-07,+30.7,-31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150.00 ,6.620E-03,+2.6,-4.5 ,±2.6,±10.8,,2150.00,6.144E-04,+8.1,-5.5,±10.4,±9.6,±3.9,1.3989,,2150.00,5.046E-03,+0.7,-1.8,±3.9,±3.9,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.00,6.532E-07,+31.4,-32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200.00 ,5.860E-03,+2.7,-4.6 ,±2.7,±11.2,,2200.00,5.108E-04,+8.1,-5.6,±10.7,±9.9,±4.1,1.4176,,2200.00,4.520E-03,+0.8,-1.8,±3.9,±3.9,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.00,5.511E-07,+32.1,-33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250.00 ,5.190E-03,+2.6,-4.6 ,±2.7,±11.8,,2250.00,4.267E-04,+8.1,-5.7,±11.0,±10.1,±4.2,1.4367,,2250.00,4.051E-03,+0.8,-1.9,±4.0,±4.0,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.00,4.742E-07,+32.9,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.00 ,4.610E-03,+2.6,-4.5 ,±2.6,±12.0,,2300.00,3.569E-04,+8.1,-5.8,±11.3,±10.4,±4.3,1.4563,,2300.00,3.633E-03,+0.8,-1.9,±4.1,±4.1,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.00,3.941E-07,+34.1,-35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350.00 ,4.090E-03,+2.6,-4.5 ,±2.6,±12.1,,2350.00,2.988E-04,+8.2,-5.9,±11.6,±10.7,±4.4,1.4763,,2350.00,3.259E-03,+0.9,-2.0,±4.2,±4.2,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350.00,3.343E-07,+35.1,-36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.00 ,3.640E-03,+2.6,-4.5 ,±2.6,±12.4,,2400.00,2.509E-04,+8.3,-6.0,±11.9,±11.0,±4.5,1.4968,,2400.00,2.925E-03,+0.9,-2.0,±4.3,±4.3,±0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.00,2.837E-07,+36.2,-37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
